Categories,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Comedy,1,0,2,5,4,6,2,1,0,2,3,4,1,9,8,0,6,10,4,2,10,6,17,10,8,8,14,14,9,13,16,25,23,18,27,40,35,40,51,61,40,40,48,46,66,62,49,57,82,84,77,92,129,119,131,122,138,103,133,120,136,140,120,125,109,108,103,79,103,111,25
Fantasy,3,0,0,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,2,0,0,1,0,1,0,1,0,14,2,0,8,4,13,8,11,9,3,20,13,17,10,24,13,26,12,15,10,5,8,23,23,26,27,24,22,30,37,54,31,44,34,37,28,28,20,15,37,32,28,32,6
Romance,0,2,2,5,3,5,0,4,7,3,3,1,2,4,1,2,5,2,5,0,2,2,6,1,3,0,1,3,2,5,3,3,4,3,8,15,10,19,10,9,9,7,19,23,25,26,18,20,29,35,28,47,54,38,75,54,50,50,65,60,77,60,52,43,51,37,24,15,29,27,9
Drama,11,9,4,9,19,15,18,12,10,9,11,10,16,12,10,7,9,12,10,9,12,26,21,22,15,10,17,12,10,42,13,24,23,19,19,29,33,34,39,42,49,37,58,74,60,77,70,86,100,98,78,109,146,88,141,129,145,156,161,159,157,162,131,164,177,159,147,137,140,148,31
Crime,3,2,0,1,8,7,4,3,4,5,1,1,3,2,3,1,6,9,6,5,1,14,13,17,13,2,20,2,2,5,5,6,5,9,6,12,12,19,25,28,28,23,22,34,34,40,22,39,38,35,36,63,52,56,48,65,58,73,77,60,49,47,47,66,58,38,39,49,60,54,11
Film-Noir,7,5,0,1,0,3,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animation,2,2,0,1,0,2,0,0,0,1,0,3,0,1,0,0,0,1,1,0,3,2,0,2,0,0,0,5,3,1,0,2,3,0,2,1,8,2,17,5,2,5,4,11,6,10,4,6,10,19,12,21,11,13,20,13,26,22,23,27,27,31,20,26,14,25,22,16,21,25,2
Family,2,2,0,1,3,0,2,0,0,1,0,0,0,1,2,2,0,1,2,0,0,2,0,0,0,0,1,0,0,2,1,1,9,1,2,4,8,6,3,9,6,10,10,19,15,12,10,10,13,12,10,15,21,17,27,31,22,24,21,30,27,17,12,10,8,13,20,5,19,13,5
Mystery,4,0,0,0,2,4,0,1,7,10,5,0,3,5,3,2,1,5,0,0,0,2,2,7,6,8,2,0,2,9,5,6,5,3,4,15,6,1,4,4,9,3,5,8,17,12,8,21,31,25,16,32,37,20,36,21,23,36,31,48,26,34,26,32,36,38,30,30,31,48,5
Adventure,0,3,0,2,5,2,7,1,2,10,5,4,2,9,1,1,2,4,8,6,11,5,11,4,1,7,3,17,9,9,15,21,20,21,26,22,27,23,19,23,12,20,19,23,22,38,39,33,37,46,52,49,66,69,62,72,78,90,74,106,83,112,81,95,85,82,101,74,104,91,20
