Source;Target
nm0000212;nm0000630
nm0000212;nm0003506
nm0000212;nm0005227
nm0000212;nm0413168
nm0000630;nm0003506
nm0000630;nm0005227
nm0000630;nm0413168
nm0003506;nm0005227
nm0003506;nm0413168
nm0005227;nm0413168
nm0000012;nm0000581
nm0000012;nm0000879
nm0000012;nm0001695
nm0000012;nm0002141
nm0000581;nm0000879
nm0000581;nm0001695
nm0000581;nm0002141
nm0000879;nm0001695
nm0000879;nm0002141
nm0001695;nm0002141
nm0001330;nm0001379
nm0001330;nm0129894
nm0001330;nm0353405
nm0001330;nm0926235
nm0001379;nm0129894
nm0001379;nm0353405
nm0001379;nm0926235
nm0129894;nm0353405
nm0129894;nm0926235
nm0353405;nm0926235
nm0041598;nm0271658
nm0041598;nm0314671
nm0041598;nm0414144
nm0041598;nm0527217
nm0041598;nm0531763
nm0041598;nm0940627
nm0271658;nm0314671
nm0271658;nm0414144
nm0271658;nm0527217
nm0271658;nm0531763
nm0271658;nm0940627
nm0314671;nm0414144
nm0314671;nm0527217
nm0314671;nm0531763
nm0314671;nm0940627
nm0414144;nm0527217
nm0414144;nm0531763
nm0414144;nm0940627
nm0527217;nm0531763
nm0527217;nm0940627
nm0531763;nm0940627
nm0000071;nm0285922
nm0000071;nm0395067
nm0000071;nm0467396
nm0000071;nm0528621
nm0285922;nm0395067
nm0285922;nm0467396
nm0285922;nm0528621
nm0395067;nm0467396
nm0395067;nm0528621
nm0467396;nm0528621
nm0000007;nm0002108
nm0000007;nm0522481
nm0000007;nm0712947
nm0000007;nm0717203
nm0002108;nm0522481
nm0002108;nm0712947
nm0002108;nm0717203
nm0522481;nm0712947
nm0522481;nm0717203
nm0712947;nm0717203
nm0000041;nm0001536
nm0000041;nm0477553
nm0000041;nm0605270
nm0000041;nm0793766
nm0001536;nm0477553
nm0001536;nm0605270
nm0001536;nm0793766
nm0477553;nm0605270
nm0477553;nm0793766
nm0605270;nm0793766
nm0000034;nm0000697
nm0000034;nm0002233
nm0000034;nm0647970
nm0000034;nm0841797
nm0000697;nm0002233
nm0000697;nm0647970
nm0000697;nm0841797
nm0002233;nm0647970
nm0002233;nm0841797
nm0647970;nm0841797
nm0000007;nm0000031
nm0000007;nm0001379
nm0000007;nm0119988
nm0000007;nm0605923
nm0000031;nm0001379
nm0000031;nm0119988
nm0000031;nm0605923
nm0001379;nm0119988
nm0001379;nm0605923
nm0119988;nm0605923
nm0001359;nm0064607
nm0001359;nm0314671
nm0001359;nm0370821
nm0001359;nm0414144
nm0001359;nm0455741
nm0001359;nm0527217
nm0001359;nm0943956
nm0064607;nm0314671
nm0064607;nm0370821
nm0064607;nm0414144
nm0064607;nm0455741
nm0064607;nm0527217
nm0064607;nm0943956
nm0314671;nm0370821
nm0314671;nm0414144
nm0314671;nm0455741
nm0314671;nm0527217
nm0314671;nm0943956
nm0370821;nm0414144
nm0370821;nm0455741
nm0370821;nm0527217
nm0370821;nm0943956
nm0414144;nm0455741
nm0414144;nm0527217
nm0414144;nm0943956
nm0455741;nm0527217
nm0455741;nm0943956
nm0527217;nm0943956
nm0000037;nm0001989
nm0000037;nm0350250
nm0000037;nm0505157
nm0000037;nm0591486
nm0001989;nm0350250
nm0001989;nm0505157
nm0001989;nm0591486
nm0350250;nm0505157
nm0350250;nm0591486
nm0505157;nm0591486
nm0000018;nm0000697
nm0000018;nm0012443
nm0000018;nm0037816
nm0000018;nm0356004
nm0000697;nm0012443
nm0000697;nm0037816
nm0000697;nm0356004
nm0012443;nm0037816
nm0012443;nm0356004
nm0037816;nm0356004
nm0415488;nm0549280
nm0415488;nm0623658
nm0415488;nm0719692
nm0415488;nm0936404
nm0549280;nm0623658
nm0549280;nm0719692
nm0549280;nm0936404
nm0623658;nm0719692
nm0623658;nm0936404
nm0719692;nm0936404
nm0000033;nm0001991
nm0000033;nm0335048
nm0000033;nm0738746
nm0000033;nm0908153
nm0001991;nm0335048
nm0001991;nm0738746
nm0001991;nm0908153
nm0335048;nm0738746
nm0335048;nm0908153
nm0738746;nm0908153
nm0000008;nm0000046
nm0000008;nm0001375
nm0000008;nm0001415
nm0000008;nm0001500
nm0000046;nm0001375
nm0000046;nm0001415
nm0000046;nm0001500
nm0001375;nm0001415
nm0001375;nm0001500
nm0001415;nm0001500
nm0000790;nm0001328
nm0000790;nm0180452
nm0000790;nm0638528
nm0000790;nm0792212
nm0000790;nm0864851
nm0001328;nm0180452
nm0001328;nm0638528
nm0001328;nm0792212
nm0001328;nm0864851
nm0180452;nm0638528
nm0180452;nm0792212
