Id,Label
nm0000212,actor
nm0000630,director
nm0003506,director
nm0005227,actor
nm0413168,actor
nm0000012,actor
nm0000581,director
nm0000879,actor
nm0001695,actor
nm0002141,actor
nm0001330,actor
nm0001379,director
nm0129894,actor
nm0353405,actor
nm0926235,actor
nm0041598,actor
nm0271658,actor
nm0314671,actor
nm0414144,actor
nm0527217,actor
nm0531763,actor
nm0940627,actor
nm0000071,actor
nm0285922,actor
nm0395067,actor
nm0467396,director
nm0528621,actor
nm0000007,actor
nm0002108,actor
nm0522481,actor
nm0712947,director
nm0717203,actor
nm0000041,director
nm0001536,actor
nm0477553,actor
nm0605270,actor
nm0793766,actor
nm0000034,actor
nm0000697,director
nm0002233,actor
nm0647970,actor
nm0841797,actor
nm0000031,actor
nm0119988,actor
nm0605923,actor
nm0001359,actor
nm0064607,actor
nm0370821,actor
nm0455741,actor
nm0943956,actor
nm0000037,actor
nm0001989,actor
nm0350250,actor
nm0505157,actor
nm0591486,director
nm0000018,actor
nm0012443,actor
nm0037816,actor
nm0356004,actor
nm0415488,actor
nm0549280,actor
nm0623658,actor
nm0719692,actor
nm0936404,director
nm0000033,director
nm0001991,actor
nm0335048,actor
nm0738746,actor
nm0908153,actor
nm0000008,actor
nm0000046,actor
nm0001375,actor
nm0001415,director
nm0001500,actor
nm0000790,actor
nm0001328,director
nm0180452,actor
nm0638528,actor
nm0792212,actor
nm0864851,actor
nm0000011,actor
nm0000038,actor
nm0000978,actor
nm0003593,director
nm0593775,actor
nm0385443,actor
nm0437520,actor
nm0848984,actor
nm0000058,actor
nm0000078,actor
nm0000406,director
nm0000955,actor
nm0280178,actor
nm0001666,actor
nm0002045,director
nm0640307,actor
nm0001120,director
nm0061472,actor
nm0143686,actor
nm0312902,actor
nm0800837,actor
nm0000485,director
nm0001229,actor
nm0104720,actor
nm0780038,actor
nm0000039,actor
nm0000044,actor
nm0001050,actor
nm0001656,actor
nm0000054,actor
nm0000066,actor
nm0002013,actor
nm0717256,actor
nm0000002,actor
nm0002107,actor
nm0624535,director
nm0915536,actor
nm0175788,actor
nm0237985,actor
nm0859892,actor
nm0000030,actor
nm0000060,actor
nm0000734,actor
nm0694403,actor
nm0943758,director
nm0167241,director
nm0525793,actor
nm0598971,actor
nm0886870,actor
nm0889024,actor
nm0000042,actor
nm0000795,actor
nm0001121,actor
nm0001336,actor
nm0828419,director
nm0695937,director
nm0833865,actor
nm0852279,director
nm0361697,actor
nm0383261,actor
nm0654868,director
nm0753479,actor
nm0945522,actor
nm0003226,director
nm0593930,actor
nm0849011,actor
nm0005738,director
