Source,Target,Weight
tt0035423,nm0000212,6.4
tt0035423,nm0000630,6.4
tt0035423,nm0003506,6.4
tt0035423,nm0005227,6.4
tt0035423,nm0413168,6.4
tt0042192,nm0000012,8.2
tt0042192,nm0000581,8.2
tt0042192,nm0000879,8.2
tt0042192,nm0001695,8.2
tt0042192,nm0002141,8.2
tt0042208,nm0001330,7.9
tt0042208,nm0001379,7.9
tt0042208,nm0129894,7.9
tt0042208,nm0353405,7.9
tt0042208,nm0926235,7.9
tt0042332,nm0041598,7.3
tt0042332,nm0271658,7.3
tt0042332,nm0314671,7.3
tt0042332,nm0414144,7.3
tt0042332,nm0527217,7.3
tt0042332,nm0531763,7.3
tt0042332,nm0940627,7.3
tt0042546,nm0000071,7.9
tt0042546,nm0285922,7.9
tt0042546,nm0395067,7.9
tt0042546,nm0467396,7.9
tt0042546,nm0528621,7.9
tt0042593,nm0000007,8.0
tt0042593,nm0002108,8.0
tt0042593,nm0522481,8.0
tt0042593,nm0712947,8.0
tt0042593,nm0717203,8.0
tt0042876,nm0000041,8.2
tt0042876,nm0001536,8.2
tt0042876,nm0477553,8.2
tt0042876,nm0605270,8.2
tt0042876,nm0793766,8.2
tt0043014,nm0000034,8.4
tt0043014,nm0000697,8.4
tt0043014,nm0002233,8.4
tt0043014,nm0647970,8.4
tt0043014,nm0841797,8.4
tt0043265,nm0000007,7.7
tt0043265,nm0000031,7.7
tt0043265,nm0001379,7.7
tt0043265,nm0119988,7.7
tt0043265,nm0605923,7.7
tt0043274,nm0001359,7.4
tt0043274,nm0064607,7.4
tt0043274,nm0314671,7.4
tt0043274,nm0370821,7.4
tt0043274,nm0414144,7.4
tt0043274,nm0455741,7.4
tt0043274,nm0527217,7.4
tt0043274,nm0943956,7.4
tt0043278,nm0000037,7.2
tt0043278,nm0001989,7.2
tt0043278,nm0350250,7.2
tt0043278,nm0505157,7.2
tt0043278,nm0591486,7.2
tt0043338,nm0000018,8.1
tt0043338,nm0000697,8.1
tt0043338,nm0012443,8.1
tt0043338,nm0037816,8.1
tt0043338,nm0356004,8.1
tt0043456,nm0415488,7.7
tt0043456,nm0549280,7.7
tt0043456,nm0623658,7.7
tt0043456,nm0719692,7.7
tt0043456,nm0936404,7.7
tt0044079,nm0000033,7.9
tt0044079,nm0001991,7.9
tt0044079,nm0335048,7.9
tt0044079,nm0738746,7.9
tt0044079,nm0908153,7.9
tt0044081,nm0000008,8.0
tt0044081,nm0000046,8.0
tt0044081,nm0001375,8.0
