,id,values,tconst,primaryTitle,averageRating
0,tt1302006,0.062439101411797475,tt1302006,The Irishman,7.9
1,tt0071562,0.05693935381246748,tt0071562,The Godfather: Part II,9.0
2,tt1204975,0.05532683485358239,tt1204975,Last Vegas,6.6
3,tt0112641,0.05478303360875615,tt0112641,Casino,8.2
4,tt0101540,0.05403129124804842,tt0101540,Cape Fear,7.3
5,tt0116999,0.05396155686698033,tt0116999,Marvin's Room,6.7
6,tt0070379,0.0536003038514786,tt0070379,Mean Streets,7.3
7,tt0343737,0.05350148350910032,tt0343737,The Good Shepherd,6.7
8,tt0099685,0.05339114958388414,tt0099685,Goodfellas,8.7
9,tt0118887,0.05311947652802349,tt0118887,Cop Land,6.9
10,tt0120885,0.05308091773361059,tt0120885,Wag the Dog,7.2
11,tt0087233,0.05285211891139563,tt0087233,Falling in Love,6.5
12,tt0486674,0.052409365591312006,tt0486674,What Just Happened,5.6
13,tt0117665,0.052396728752634715,tt0117665,Sleepers,7.6
14,tt0113277,0.05145176708628164,tt0113277,Heat,8.2
15,tt0081398,0.05084126233340028,tt0081398,Raging Bull,8.2
16,tt0075314,0.050332605066830384,tt0075314,Taxi Driver,8.3
17,tt0970866,0.04995376527828683,tt0970866,Little Fockers,5.5
18,tt0307453,0.04926260416339285,tt0307453,Shark Tale,6.0
19,tt1034331,0.049188162206113065,tt1034331,Righteous Kill,6.0
20,tt0094226,0.04914134996991147,tt0094226,The Untouchables,7.9
21,tt0455323,0.049044698730903516,tt0455323,Being Flynn,6.4
22,tt0098625,0.04854246325276004,tt0098625,We're No Angels,6.2
23,tt1661382,0.048455849571539124,tt1661382,Grudge Match,6.4
24,tt0101393,0.04819565568668823,tt0101393,Backdraft,6.7
25,tt0076451,0.04808409619807426,tt0076451,"New York, New York",6.7
26,tt0085794,0.048032738580116426,tt0085794,The King of Comedy,7.8
27,tt2212008,0.04795653128561168,tt2212008,The Bag Man,5.2
28,tt0290002,0.0474658477722014,tt0290002,Meet the Fockers,6.3
29,tt0212338,0.0474658477722014,tt0212338,Meet the Parents,7.0
30,tt0083232,0.04626671738975074,tt0083232,True Confessions,6.3
31,tt1931435,0.046172476440203204,tt1931435,The Big Wedding,5.6
32,tt0107473,0.04615361678101883,tt0107473,Mad Dog and Glory,6.2
33,tt0116277,0.046141297621787564,tt0116277,The Fan,5.9
34,tt2446980,0.046007799468820866,tt2446980,Joy,6.6
35,tt0108330,0.04593754376355652,tt0108330,This Boy's Life,7.3
36,tt0780511,0.04592737413228969,tt0780511,Everybody's Fine,7.1
37,tt0122933,0.0456284748709647,tt0122933,Analyze This,6.7
38,tt1480295,0.0456155295759557,tt1480295,Killing Season,5.4
39,tt0203019,0.045604613138029784,tt0203019,Men of Honor,7.2
40,tt2361509,0.045579140650626855,tt2361509,The Intern,7.1
41,tt1045658,0.04534216819082974,tt1045658,Silver Linings Playbook,7.7
42,tt0227445,0.04528902213823571,tt0227445,The Score,6.8
43,tt0097607,0.04520428282993249,tt0097607,Jacknife,6.3
44,tt0284490,0.0451599606422861,tt0284490,Showtime,5.5
45,tt2404311,0.045139265019776914,tt2404311,The Family,6.3
46,tt0155711,0.04512557711010747,tt0155711,Flawless,6.5
47,tt0985694,0.04493719918711826,tt0985694,Machete,6.6
48,tt1423995,0.044710006755762983,tt1423995,Stone,5.4
49,tt0099077,0.04462833310188017,tt0099077,Awakenings,7.8
50,tt1967614,0.044592167750739875,tt1967614,The Comedian,5.8
51,tt1748179,0.04442922689635548,tt1748179,Red Lights,6.2
52,tt0269095,0.04441789052952962,tt0269095,City by the Sea,6.1
53,tt0289848,0.04434399137970987,tt0289848,Analyze That,5.9
54,tt1448755,0.04429185840783853,tt1448755,Killer Elite,6.4
55,tt0065836,0.044245285892126916,tt0065836,"Hi, Mom!",6.2
56,tt0077416,0.04416291536867057,tt0077416,The Deer Hunter,8.1
57,tt7286456,0.044048986128636135,tt7286456,Joker,8.5
58,tt0092563,0.04398186945361392,tt0092563,Angel Heart,7.3
59,tt0382077,0.04396671899957648,tt0382077,Hide and Seek,6.0
60,tt0122690,0.04387722852150123,tt0122690,Ronin,7.3
61,tt0131704,0.04387622190964656,tt0131704,The Adventures of Rocky & Bullwinkle,4.2
62,tt1815708,0.043731795274438885,tt1815708,Freelancers,4.7
63,tt0101984,0.04351337766618072,tt0101984,Guilty by Suspicion,6.5
64,tt0087843,0.043478473827773506,tt0087843,Once Upon a Time in America,8.4
65,tt1219289,0.043421768115534526,tt1219289,Limitless,7.4
66,tt0105001,0.04329074707998448,tt0105001,Night and the City,5.8
67,tt0335121,0.043258514834461866,tt0335121,Godsend,4.8
68,tt0091530,0.043199147996817816,tt0091530,The Mission,7.4
69,tt0109836,0.04269491405085104,tt0109836,Mary Shelley's Frankenstein,6.4
70,tt0100680,0.04227803417265783,tt0100680,Stanley & Iris,6.4
71,tt3276924,0.04210202582369108,tt3276924,Heist,6.1
72,tt0088846,0.041870674312279414,tt0088846,Brazil,7.9
73,tt0074084,0.041756443002542235,tt0074084,1900,7.7
74,tt1781827,0.041604729184858746,tt1781827,Hands of Stone,6.6
75,tt0095631,0.04156576589543464,tt0095631,Midnight Run,7.5
76,tt0179626,0.041475887917392734,tt0179626,15 Minutes,6.1
77,tt1860213,0.04128390852135129,tt1860213,Dirty Grandpa,5.9
78,tt0106489,0.041145532865794726,tt0106489,A Bronx Tale,7.8
79,tt0069765,0.04044173763183148,tt0069765,Bang the Drum Slowly,6.9
80,tt0074777,0.04039086612029034,tt0074777,The Last Tycoon,6.3
81,tt0110912,0.03559971502698086,tt0110912,Pulp Fiction,8.9
82,tt0113552,0.030469573483615918,tt0113552,Kiss of Death,5.9
83,tt0163988,0.029585020807886452,tt0163988,Bringing Out the Dead,6.8
84,tt0217869,0.029377286628542474,tt0217869,Unbreakable,7.3
85,tt0112864,0.029101563025320874,tt0112864,Die Hard with a Vengeance,7.6
86,tt6823368,0.029083070112351166,tt6823368,Glass,6.7
87,tt0106266,0.02901036888853809,tt0106266,Amos & Andrew,5.7
88,tt0429589,0.028232476080276986,tt0429589,The Ant Bully,5.8
89,tt0117913,0.026964336497116843,tt0117913,A Time to Kill,7.5
90,tt0093822,0.026363843221909423,tt0093822,Raising Arizona,7.3
91,tt0118880,0.02613093826414424,tt0118880,Con Air,6.9
92,tt0407887,0.025575916892309657,tt0407887,The Departed,8.5
93,tt0120184,0.025043440994914474,tt0120184,Sphere,6.1
94,tt1821694,0.02501612110683018,tt1821694,RED 2,6.6
95,tt1843866,0.024836778326894876,tt1843866,Captain America: The Winter Soldier,7.7
96,tt1245526,0.024784213910058906,tt1245526,RED,7.0
97,tt0105813,0.024241939299183144,tt0105813,White Sands,6.0
98,tt1674784,0.02420149240468401,tt1674784,Trespass,5.3
99,tt0219965,0.024004038716498886,tt0219965,Bandits,6.5
100,tt0118607,0.023930253005490846,tt0118607,Amistad,7.3
